query_stock_code,query_canonical,bsns_year,rcept_no,corp_cls,corp_code,corp_name,inv_prm,frst_acqs_de,invstmnt_purps,frst_acqs_amount,bsis_blce_qy,bsis_blce_qota_rt,bsis_blce_acntbk_amount,incrs_dcrs_acqs_dsps_qy,incrs_dcrs_acqs_dsps_amount,incrs_dcrs_evl_lstmn,trmend_blce_qy,trmend_blce_qota_rt,trmend_blce_acntbk_amount,recent_bsns_year_fnnr_sttus_tot_assets,recent_bsns_year_fnnr_sttus_thstrm_ntpf,stlm_dt
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem America, Inc.",2021.11.19,경영참여,"32,283,000,000",0,100,"32,283,000,000",-,-,-,0,100,"32,283,000,000","612,978,000,000","9,607,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem Life Sciences USA, Inc",2021.11.19,경영참여,"1,702,000,000",0,100,"508,593,000,000",-,-,-,0,100,"508,593,000,000","56,065,000,000","516,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG Chem Asia Pte. Ltd.,2021.01.08,경영참여,"821,000,000",0,100,"821,000,000",-,-,-,0,100,"821,000,000","13,990,000,000","21,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG PETRONAS Chemicals Malaysia Sdn.Bhd.,2021.04.28,경영참여,"14,000,000",0,51,"36,867,000,000",-,"36,008,000,000",-,0,51,"72,875,000,000","578,881,000,000","-73,912,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,주식회사 엘지에이치와이비씨엠,2021.11.03,경영참여,"53,504,000,000","26,752,147",51,"133,761,000,000",-,-,-,"26,752,147",51,"133,761,000,000","639,581,000,000","-19,405,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem Ohio Petrochemical, Inc.",2021.12.17,경영참여,"22,516,000,000",0,100,"22,516,000,000",-,-,-,0,100,"22,516,000,000","97,803,000,000","-22,718,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem VietNam Co., Ltd ",2022.02.11,경영참여,"359,000,000",0,100,"359,000,000",-,-,-,0,100,"359,000,000","1,179,000,000","108,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG Chem Malaysia SDN.BHD.,2015.05.19,경영참여,"150,000,000","500,000",100,"150,000,000",-,-,-,"500,000",100,"150,000,000","2,056,000,000","121,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem BRASIL INTERMEDIACAO DE NEGOCIOS
DO SETOR QUIMICO LTDA.",2005.08.30,경영참여,"258,000,000",0,100,"579,000,000",-,-,-,0,100,"579,000,000","2,474,000,000","287,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,PT LG CHEM INDONESIA,2023.04.17,경영참여,"885,000,000",0,100,"885,000,000",-,-,-,0,100,"885,000,000","1,745,000,000","89,000,000",2025-12-31
