date,open,high,low,close,volume,trading_value
20260703,106600,106600,98000,106000,267650,27235850150
20260702,112800,112900,105000,106700,295237,31677296000
20260701,114600,114800,107200,110000,453641,49733642100
20260630,117400,117400,110000,111500,299165,33582749650
20260629,100000,117500,98600,116900,595669,66589012100
20260626,107000,108300,96000,98900,594590,59541603500
20260625,113900,116100,105900,107800,588140,64186899700
20260624,111700,116100,108000,113700,330176,37271787300
20260623,124200,127900,112100,112700,397548,46643484200
20260622,129000,130600,122600,125700,332473,41757690700
20260619,128300,134300,124000,128600,525285,67474142500
20260618,140000,140100,126400,127900,570783,73735263600
20260617,145900,146800,140300,140600,275398,39292333750
20260616,142900,144500,135800,141700,226005,31938296350
20260615,142200,143300,138200,141700,242212,34220603400
20260612,133900,142300,130000,134000,431017,58779851500
20260611,120900,125800,117300,125800,411279,50560621500
20260610,128300,132000,121200,126400,373561,46646881650
20260609,125300,130700,119600,129600,395541,49848468600
20260608,124900,129700,123700,124600,446119,56328087800
20260605,147100,149400,136100,139900,405849,57031246950
20260604,151100,157200,146600,150100,376961,56527276800
20260602,152800,164000,149700,150000,760635,118234658800
20260601,163900,164100,152400,155000,762095,118669888700
20260529,167500,173000,156700,168300,1025931,170057966300
20260528,161700,177500,159900,169200,2021011,341779884050
20260527,159000,162100,149200,149700,492888,76158209950
20260526,165000,165300,157100,157600,383528,61397622250
20260522,161600,170500,157300,158900,672312,109897015650
20260521,154500,155100,147900,155100,596367,90483835400
20260520,155400,156500,145300,148500,489951,72742621400
20260519,164000,165000,153000,157000,374551,59103542700
20260518,157100,163300,150100,160500,496363,78234888100
20260515,171500,176600,156000,160200,633101,104371009250
20260514,180200,180400,164700,171700,847725,144195874850
20260513,171300,173000,165500,169000,580098,97502606800
20260512,190200,190300,169900,175000,1173423,206476794900
20260511,196600,197600,181700,187300,976865,182221244800
20260508,209500,209500,194000,195800,724782,143409135250
20260507,210500,213500,204500,211000,413844,86323483750
20260506,218500,219000,206000,212500,564728,119891369750
20260504,208500,225000,207000,213000,979132,213844444250
20260430,208000,210500,192100,195100,730075,146413298300
20260429,204500,212500,204500,209000,361478,75382663500
20260428,208500,215000,201500,205000,516672,107598716500
20260427,199200,209000,195200,204000,820199,165087150550
20260424,190000,201500,190000,198500,891885,175076602550
20260423,195300,197300,183500,189100,745868,140986314950
20260422,198000,198300,188300,194700,754499,145787723350
20260421,189100,197000,180000,196400,1447273,276885509750
20260420,184600,188300,176300,183700,657910,121371829900
20260417,172100,185900,171800,185600,1701984,308699369450
20260416,172400,173500,168100,169500,581875,99148258950
20260415,174000,174400,168800,170600,831731,141925795150
20260414,182200,183000,170700,173400,1037394,180322336350
20260413,186000,187700,175600,181700,737997,132502662250
20260410,186200,193100,184100,186800,743997,141045024700
20260409,188800,191300,182800,183100,852550,157913361200
20260408,191800,191900,180500,184100,1205873,222302430850
20260407,167000,195300,167000,185000,2190888,407222842350
20260406,171500,176500,168600,170600,911830,157148258650
20260403,166100,169200,157700,166400,1052347,173129980800
20260402,148800,171300,148800,161600,2886419,475411959750
20260401,152500,154900,140300,147400,1046406,152546278150
20260331,156700,159000,143000,143900,1095696,163081575050
20260330,154000,162600,153800,155900,1523586,242550820300
20260327,141000,158400,140000,155300,1897659,287913527600
20260326,144200,148500,140700,144500,1039926,150937406100
20260325,128000,148000,127200,145300,2405085,342030278600
20260324,118000,128500,116900,125000,1385441,170408713900
20260323,108300,118700,107200,112100,776550,88895563600
20260320,108900,112700,107200,112100,384986,42705825250
20260319,106700,110300,106000,108300,308418,33321003900
20260318,112100,112100,105600,111300,440078,48249979950
20260317,107400,113000,107200,110100,317545,35066261500
20260316,106900,108900,103400,105100,190842,20159403950
20260313,108100,109700,105200,106800,451440,48338417750
20260312,113700,117100,111800,111800,606189,68535075550
20260311,115000,117900,111900,114100,305065,35389741150
20260310,119200,119200,111100,113100,292699,33433278300
20260309,110800,120500,109600,113000,412446,46716432250
20260306,118800,118900,111300,118600,578934,67206890950
20260305,101200,110500,101100,107000,428293,45917770350
20260304,106000,109700,92500,93200,629412,62491121400
20260303,120300,125300,112000,112400,535662,63386590150
20260227,122100,127500,121300,125700,439832,55240942150
20260226,126800,129000,123800,124900,450953,56715196250
20260225,124500,126000,122200,124900,401178,49949375750
20260224,116700,127500,116000,124500,1201243,147895696600
20260223,116700,119100,113000,114100,248481,28683423050
20260220,117600,118700,114400,114700,333456,38587546650
20260219,114100,118500,113100,118200,403673,47143396350
20260213,115600,116100,113100,113100,809714,91842304100
20260212,118100,120000,115500,118700,390148,46152466550
20260211,119200,119700,116100,116700,184750,21731772300
20260210,121200,121900,117050,118000,282391,33547885250
20260209,118500,122800,117000,120800,422714,50877292750
20260206,113800,115800,109200,113800,460682,51808214600
20260205,120000,126000,116600,117600,567003,68247654650
20260204,119400,123200,118500,120700,365169,44081637400
