date,open,high,low,close,volume,trading_value
20260703,501000,504000,429000,467500,1381881,650368321750
20260630,679000,679000,442000,487000,12330038,6646277931000
20260529,715000,717000,548000,688000,15179447,9881506942000
20260430,425000,723000,413000,695000,22298701,12411526128000
20260331,453500,454500,348500,408000,14608640,5832586728250
20260227,380000,473500,355500,466000,17086145,6862999782000
20260130,268000,411500,259000,390000,29472042,10201837073500
20251230,301500,329000,265000,269500,8018558,2359452977530
20251128,328500,354500,280500,299500,11951071,3761911162750
20251031,206000,349500,201500,322000,21739639,6013199857288
20250930,202500,211500,196800,205000,8519281,1731866198564
20250829,196400,234000,189500,207000,11017027,2377247204800
20250731,173400,212500,169700,201000,14829975,2749780976450
20250630,170000,182300,165900,172800,10539946,1815670061797
20250530,176400,177000,157700,168900,8858643,1491485177150
20250430,186505,191300,166435,176000,7881836,1417989511535
20250331,217345,219303,182883,184547,14381486,2838501651096
20250228,211960,243289,195806,219303,9633370,2095215107000
20250131,242310,249163,215387,217345,6907301,1607052700000
20241230,253569,262380,233499,242310,6942053,1722939792000
20241129,318675,330913,230562,249163,12184399,3309438443000
20241031,364200,377906,314269,320143,6258347,2140134720178
20240930,351472,385249,325039,370564,7669809,2760730576500
20240830,313290,354899,288325,346577,8787342,2821319045651
20240731,345109,381822,305458,312801,9637206,3376864431736
20240628,367137,393571,343640,346577,6271880,2346342548160
20240531,428816,443012,366647,366647,5320263,2161003780900
20240430,459166,460145,376438,424900,7448326,3063516578000
20240329,369585,484131,355389,461124,16107973,6995160675079
20240229,361263,399935,358326,369095,5622299,2142803255748
20240131,459166,459656,334829,364689,8855630,3380945622264
20231228,457698,462103,420005,462103,5636235,2474290178916
20231130,420984,511055,408256,462103,7819503,3506065621050
20231031,473362,527698,408746,416578,7123799,3299290023545
20230927,602105,607000,491474,501264,4242448,2342995372131
20230831,650078,661826,570776,601126,4135298,2512049107988
20230731,665742,719589,644203,651057,5736406,3901954611303
20230630,702945,729379,639308,654973,3831890,2644158216316
20230531,680428,708820,641266,702945,3708405,2509483036598
20230428,734274,770499,667700,676511,5851741,4247657177724
20230331,678469,784205,678469,719589,6890273,4978871781553
20230228,682386,727421,653015,681407,4697323,3264017738514
20230131,584482,689239,561965,670637,4601694,2846590260611
20221229,721547,725463,578608,578608,4513227,2909548909547
20221130,719589,766582,665742,713715,6502589,4621793570546
20221031,538468,724484,525740,721547,6504657,4057831521306
20220930,576650,620707,532594,534552,4973786,2885576799190
20220831,557069,621686,550216,585461,4573432,2676294731545
20220729,520845,581545,490495,557069,4885833,2608025083000
20220630,557069,568818,507139,520845,6025365,3251860106364
20220531,591336,621686,552174,562944,5646216,3270098451372
20220429,577629,614832,548258,598189,5726417,3341513071000
20220331,547279,583503,452802,583503,7811353,3977423638032
20220228,576650,587419,504202,536510,5980610,3250035421000
20220128,649098,677490,540426,571755,7347824,4601039323300
20211230,679449,704903,614832,641266,5624569,3703629519113
20211130,717631,755813,663784,673574,4640649,3340649740137
20211029,694134,748960,640287,718610,5207832,3602585017270
20210930,776373,778331,680428,702945,5123942,3712751875744
20210831,728400,810639,711757,776373,6427534,4918855675320
