date,open,high,low,close,volume,trading_value
20260703,283500,289000,267500,281500,621987,173648834750
20260630,364500,381000,264500,280000,7267440,2395650766043
20260529,411500,437500,326000,367000,8149956,3078072124994
20260430,314500,411500,298000,397000,7206898,2589742544709
20260331,402000,407000,288000,299000,7802334,2497469205750
20260227,312000,424000,294000,417500,7883901,2744661537329
20260130,331000,369000,307500,310500,7830671,2618896810250
20251230,378000,388500,324500,333000,4409563,1585400562550
20251128,399000,428500,355000,374000,7108278,2781670354287
20251031,279000,423500,271500,397500,9748025,3526875074989
20250930,275000,306500,264500,278000,4686444,1347296239210
20250829,294500,307000,269500,277500,5412372,1548462774349
20250731,213000,322500,212000,301500,10647067,2902319435250
20250630,197500,218000,193900,211500,5304776,1099440949755
20250530,216000,217500,181500,197300,6364217,1256961752600
20250430,248500,251500,202500,216000,5649517,1253157278660
20250331,231000,276000,223500,245000,7541675,1878114941250
20250228,234500,258000,208000,234500,6340083,1466969696000
20250131,250000,264000,236000,237500,4133215,1019815582000
20241230,287500,289000,242000,250000,5795048,1518310505092
20241129,312000,325500,267500,284000,5907303,1765083461500
20241031,358000,368000,312000,313500,5937435,2006221617500
20240930,328000,368500,301500,356500,6096572,2037522664500
20240830,305500,329500,263500,321500,6170798,1853836566059
20240731,345500,371000,299500,305500,6184051,2094222548484
20240628,355000,388000,336500,345500,5115753,1852243021155
20240531,406000,412000,350000,351500,5881769,2270699554626
20240430,440000,442000,366000,402500,6974888,2731702015360
20240329,452500,471500,430000,439000,5366498,2395205720974
20240229,426500,520000,417000,453000,7921530,3760659032091
20240131,494000,496000,383500,434500,5692429,2450506291200
20231228,499500,507000,458500,499000,4573426,2208445975000
20231130,440500,537000,429500,501000,6134463,2994745197000
20231031,497000,541000,424500,440000,6660995,3188843998216
20230927,583000,597000,487500,496500,4958470,2709128904622
20230831,650000,679000,548000,583000,5630355,3388210308753
20230731,678000,783000,626000,648000,8036458,5526270413506
20230630,698000,763000,657000,667000,5011299,3595378700535
20230531,750000,760000,677000,693000,4043790,2872545374953
20230428,728000,857000,706000,740000,7256223,5628860944070
20230331,672000,757000,671000,712000,5151975,3638882188604
20230228,682000,728000,651000,680000,4082726,2775046632115
20230131,596000,703000,575000,690000,3470911,2218114296639
20221229,748000,755000,593000,600000,3713236,2417218671759
20221130,633000,760000,632000,740000,5844934,4102293926596
20221031,546000,627000,535000,626000,5674828,3315075432448
20220930,624000,667000,534000,536000,3939004,2410923896252
20220831,608000,681000,591000,632000,4351341,2759349992748
20220729,516000,605000,497500,603000,5275252,2867324539963
20220630,596000,600000,516000,516000,5692325,3210609283733
20220531,513000,586000,480000,585000,5522230,2929601759481
20220429,538000,546000,455000,519000,3921621,1978175968160
20220331,565000,565000,437000,532000,8579035,4232422709813
20220228,677000,691000,542000,565000,6618032,4108929024922
20220128,622000,774000,605000,639000,9299307,6360599351531
20211230,702000,764000,611000,615000,6388744,4364475406524
20211130,849000,856000,694000,694000,4701585,3585123236829
20211029,778000,864000,722000,836000,5125775,4135596483264
20210930,763000,783000,696000,776000,8250749,6083031104142
20210831,848000,910000,752000,758000,7264591,6024108486954
