date,open,high,low,close,volume,trading_value
20260629,162000,187800,149500,162200,1905419,324042376800
20260622,199100,201000,155700,160600,1510015,266228681700
20260615,207000,213000,192000,199500,1053174,215364124600
20260608,190200,205500,177400,199400,1693523,321383118600
20260601,241000,244500,203000,209000,1256202,285015657500
20260526,249500,250000,225500,245500,1443877,346489293000
20260518,232500,249000,211500,243000,1482498,337991532500
20260511,290000,290000,231000,235500,2296940,593081912000
20260504,260500,299500,260000,290000,2645148,748466804250
20260427,256500,268500,246000,252000,1687794,434075683500
20260420,236000,262000,234000,252000,2372822,592027272250
20260413,214000,237000,211000,234500,1239986,277198592250
20260406,210500,225000,207750,217500,1556438,336024402750
20260330,203500,230000,201500,211500,2527236,541588783500
20260323,191100,212500,186000,209000,1821668,362444431650
20260316,189500,204000,188200,199200,1857252,364558732200
20260309,200000,218500,189600,190900,2542546,501728525200
20260303,242000,252500,184500,215500,2175769,466310328900
20260223,236000,254000,224000,247000,2760803,664625749750
20260219,228000,237000,225000,233000,667422,155782544000
20260209,224500,230000,216000,224000,1948914,436804058000
20260202,218500,234000,210000,218000,2715403,608433488250
20260126,216500,245500,214000,223500,4290011,987455349750
20260119,189300,224000,187800,214000,3240608,672001880650
20260112,174100,198300,174000,188700,2315806,439979141850
20260105,174000,187000,172500,175900,2078742,373044278250
20251229,190600,198400,176600,176900,1321910,245808821500
20251222,192500,204500,190300,196200,1133706,223578755200
20251215,218500,235000,183100,191100,2651598,547712524550
20251208,208500,230000,207000,221500,2102017,463645046000
20251201,209500,214000,201000,206000,1022744,211788779750
20251124,194400,211500,185800,206500,1456880,287302395050
20251117,212500,216000,191000,192500,1442937,288664247500
20251110,207000,223500,199900,209500,1783724,381986591400
20251103,223500,228500,201000,207000,1947635,418708877000
20251027,258000,260000,214000,216500,4673321,1104106229000
20251020,191100,243000,186500,242000,4358806,919649183700
20251013,144000,201000,143400,193500,6370842,1114644553550
20251010,146400,148100,142200,146300,374520,54599054950
20250929,142200,150300,140700,146500,1704962,248967695850
20250922,142200,147900,137300,141300,1903253,271416699000
20250915,134900,146400,131200,141300,1998650,275171166850
20250908,130800,135800,128100,133500,1868487,244878379400
20250901,140300,142000,131000,131600,1151106,156038445450
20250825,154700,159400,141300,141300,1371022,206585620000
20250818,162200,162300,149900,151200,978846,150896371650
20250811,152700,164900,152700,163200,2417629,388299532500
20250804,138200,153500,135600,150400,1904918,281958494800
20250728,149100,155500,136600,137100,1558612,228511046200
20250721,153000,161800,146200,148600,2471476,378402785250
20250714,142000,163300,130200,156900,5189314,782487348400
20250707,133000,140600,122400,139000,2301975,300725817750
20250630,124900,136300,122800,131200,1848606,237989720650
20250623,126600,132800,123000,123600,1278014,163266831200
20250616,122300,133900,117550,129200,1889434,236318561100
20250609,113894,129015,110211,123200,2519494,305918549150
20250602,113506,117771,109241,115348,893658,101847746850
20250526,97416,115445,95477,113022,2612631,278335357800
20250519,106430,111665,96640,97028,1570638,163504417450
20250512,117384,120098,105655,107594,2183673,245802891850
20250507,122618,125526,116317,116802,1120757,134279587550
20250428,125914,129306,117868,121067,949146,117944180800
20250421,122812,131342,119516,124847,1126684,141375823300
20250414,127174,130469,119225,122715,864597,107402548400
20250407,113409,133377,111471,126301,2110769,258251918950
20250331,120388,121164,104686,117965,2194138,250334687850
20250324,134153,137933,123781,124557,1126192,148101994800
20250317,133668,142877,130857,133474,1853053,251835603300
20250310,137836,145203,130857,133183,2221136,308480498700
20250304,134444,139581,125332,136964,1973081,259625606950
20250224,139872,150825,132893,136964,2458615,352314858700
20250217,128531,143846,125332,141229,3426380,463666547700
20250210,122036,131729,118935,128240,2121811,267532855700
20250203,133959,134347,120970,123975,1979634,249300752100
20250131,138515,138902,133959,138418,262841,36043713700
20250120,146172,151213,135122,137448,2383734,337204673800
20250113,144912,151310,142780,145300,1648559,242446934000
20250106,143555,153345,141423,146269,2341923,343723373000
20241230,136576,146075,132117,141810,1227042,170478250800
20241223,142489,149565,135219,138030,1295615,182746944900
20241216,163814,164589,140647,141326,1854041,278426901200
20241209,156156,168854,150050,161681,1905484,304762607500
20241202,169242,175155,152376,160130,1589178,260930983100
20241125,176512,187077,165946,167013,1580222,282060136800
20241118,162457,177384,158967,172925,1817475,305200079600
20241111,206464,208887,157029,162457,3287796,594986151500
20241104,223911,236512,201132,205494,2402236,520280253000
20241028,220034,235543,213734,221003,1511455,341844836000
20241021,221973,236028,211795,220034,1536366,342851021000
20241014,235543,240874,221973,223427,1209367,277790950500
20241007,237966,252506,236028,238936,1392537,341645179000
20240930,246206,255899,233605,235059,1318949,321496727000
20240923,224881,248144,221973,243298,2097699,504386745500
20240919,227789,234574,218580,226819,577556,130857281000
20240909,205010,227789,194832,224881,2616081,552159871500
20240902,210826,242813,208402,209372,3958946,912503618000
20240826,210341,218095,202586,207918,1217851,255760205500
20240819,201617,215188,193863,206948,1453887,296539931500
20240812,199194,210826,194832,204040,929232,188558450000
20240805,217126,224396,189501,199194,2434444,498100473400
