date,open,high,low,close,volume,trading_value
20260703,134300,142500,115300,124400,2750434,355157860950
20260630,215000,218000,129600,142500,14073388,2376103147550
20260529,211500,243500,174900,217000,14549746,3088109427250
20260430,202000,222500,190000,206000,11249468,2328327041700
20260331,215500,224000,165600,192200,13515138,2630792574000
20260227,227000,235500,193300,221500,14002183,2971945292300
20260130,145000,260000,139200,232000,24138517,4730492795800
20251230,154100,189000,145500,146600,13184192,2210193726450
20251128,163600,170900,134200,149900,8522485,1300873167900
20251031,113500,180000,109500,160000,25274436,3984157574250
20250930,119900,124700,112900,113000,7367963,872794870500
20250829,109500,142000,106200,121200,14289659,1834825807487
20250731,100700,118300,99700,111100,11504565,1245490827800
20250630,90300,108100,87600,100600,10308929,1006129007950
20250530,101600,105500,81100,89700,7892577,737224890500
20250430,97100,108900,87000,101500,9271328,909560838950
20250331,117900,123900,95600,96200,12381364,1400645365200
20250228,128200,141700,116800,119000,18124621,2335156777700
20250131,110400,139600,105000,131000,14168398,1782512371100
20241230,137300,142100,106600,109900,11815302,1465635240800
20241129,166200,189100,120400,135200,16415178,2450226963900
20241031,183400,194500,155000,170500,10558498,1847255308600
20240930,169000,193900,148700,184500,13352270,2273642565900
20240830,180000,191900,163100,168300,14267776,2518412075900
20240731,187500,202000,170600,179900,13014477,2432687324250
20240628,189400,224000,175200,183000,13406426,2662585176300
20240531,236500,239000,181500,191300,11011790,2266026771600
20240430,272000,280000,215000,238500,12637315,3018503635000
20240329,265500,298500,243500,274000,15848131,4274120842500
20240229,213500,273000,211000,266500,20327075,4974030987500
20240131,288000,323000,213500,213500,24193318,6589664721490
20231228,269500,354000,259000,288000,28873234,9038501725500
20231130,198900,320000,187600,274000,31228983,7974408044300
20231031,249500,261500,195000,196200,17804463,4075140856600
20230927,320500,320500,243500,253000,15383288,4367040587000
20230831,425500,448500,298500,324500,27568132,9665049371000
20230731,254000,584000,250500,419000,73489381,27282181580000
20230630,249500,287500,238000,249000,19138686,5024294718500
20230531,268500,276500,212500,249000,22571532,5367080640500
20230428,231000,315500,220000,267000,60352420,16363354383500
20230331,166600,262500,158100,224500,82966274,17485879153400
20230228,101000,169500,100800,166300,55864666,7932007591900
20230131,93100,107300,90100,99800,11234757,1114474977900
20221229,116100,117000,90900,92100,15372867,1571957311100
20221130,116400,118800,102300,113800,22719963,2519695221500
20221031,89600,117000,88700,115100,24591665,2579852421700
20220930,110200,111300,86900,88100,22270201,2260645550600
20220831,119400,133500,108800,112200,20968934,2526374473300
20220729,112900,127300,106900,119400,19416662,2234055789340
20220630,125527,156600,112000,113500,22992383,2965992566300
20220531,116820,131620,107301,126605,20230523,2441588570700
20220429,97597,121589,94879,117710,25556332,2837306383200
20220331,91939,99895,77633,98264,21240623,1925586222400
20220228,84452,93891,74866,92705,26698320,2225997461200
20220128,124801,125517,72543,81117,31941506,3042677469250
20211230,134388,134684,119316,123738,19645895,2490136136100
20211130,101798,142097,98684,134264,27588013,3538969440700
20211029,113633,115115,96979,101279,25707739,2715350887979
20210930,79189,120452,72148,115387,59671141,5928540186850
20210831,71085,83513,68688,79165,43658294,3373083388900
