date,open,high,low,close,volume,trading_value
20260629,95600,118700,79800,87300,11446501,1149938815700
20260622,116100,117800,93200,95400,5395182,567221105550
20260615,121300,125500,112500,116000,4078464,487061917850
20260608,108400,120100,99700,115700,6674220,724489368950
20260601,136000,138200,118500,118500,6055732,788936659750
20260526,151300,157700,136000,139000,7764259,1130481734550
20260518,126500,151700,115000,146500,8637680,1153515723750
20260511,154100,154300,126100,129200,7978335,1114796304700
20260504,155800,165800,151700,155000,6089146,964781022450
20260427,157600,166200,152800,152900,5186666,824650981300
20260420,151200,166700,150000,156600,9016430,1435651843150
20260413,146000,154000,143700,151900,4480998,666130299100
20260406,141900,155100,141900,146400,6154271,917739286500
20260330,141600,155200,139400,141500,6167796,901243536450
20260323,145100,154300,138500,149000,5832242,859131285650
20260316,150700,155000,143200,150900,5291006,795647858100
20260309,160400,174900,150500,150500,9993792,1618206781500
20260303,179000,189400,133500,170000,18331643,2973020340100
20260223,180000,190000,167000,185000,16878597,3014526232100
20260219,151700,175600,149000,171300,8337656,1398124513550
20260209,162200,165400,148600,150400,10480451,1636263131750
20260202,164800,184500,153400,155800,24183414,4078016076950
20260126,109200,182700,108400,162500,57331109,8466670604450
20260119,91400,109700,91000,105900,17451715,1755023411800
20260112,87100,97600,87100,92600,8559830,804097913350
20260105,87000,96000,87000,88000,7615367,696887958550
20251229,94700,100300,87800,88300,7321200,683646145650
20251222,97700,100800,95300,97000,7937379,776301446450
20251215,108600,112400,92100,96800,17886511,1821061201450
20251208,99700,121600,99000,111400,41298854,4711642520923
20251201,86800,99000,86300,96900,25594898,2400025110200
20251124,79700,86000,74100,84500,12140062,971357442100
20251117,91200,92000,78500,78800,12639998,1053071675350
20251110,88400,99800,82900,89900,25517190,2381666040650
20251103,91400,102400,87100,87200,21538718,2016772749950
20251027,91300,98700,86500,88000,12372766,1147673659200
20251020,74800,89100,70700,88300,24370020,1978635711000
20251013,45900,73900,45550,73300,16275847,1040342222125
20251010,47350,47450,46000,46550,591058,27629576175
20250929,48700,48700,46900,47350,1425259,67998348750
20250922,49850,50500,48050,48100,2253522,110958643475
20250915,49800,50800,49150,49750,2862573,142757606950
20250908,49000,50300,48300,49100,2977473,146342977775
20250901,50200,51200,49450,49800,1525726,76520994275
20250825,55100,57100,50500,50600,2897197,156027165900
20250818,59000,59400,53300,53700,2811571,156637784600
20250811,53000,59400,53000,58600,5951309,336871731250
20250804,48250,53800,47450,52000,4833604,250428535850
20250728,51400,52800,47650,47700,4246958,214180357300
20250721,48650,52400,46800,50800,5341345,265619390075
20250714,47800,49550,46050,48450,4636735,221933465950
20250707,47300,48250,44500,47200,3341481,154061799275
20250630,45250,48550,44650,46850,3603441,167444245050
20250623,43000,50500,42100,44950,6734506,316520969675
20250616,42150,44800,41000,44250,3561934,151757299150
20250609,44850,46500,42550,42850,3770051,167525949000
20250602,42900,45750,41900,45350,3117982,137303426525
20250526,39050,44250,37750,42800,6342100,261971832675
20250519,43150,44500,39200,39300,3579903,148423421900
20250512,47450,49100,44050,44050,2910204,135045214825
20250507,50600,50900,47050,47150,1753399,84796510450
20250428,52000,54100,49500,50200,2571304,132184631525
20250421,47550,52500,46800,51000,2832074,140071836175
20250414,51400,53000,47500,48000,2420668,119847301700
20250407,50400,52500,47650,50900,3805424,192176781550
20250331,54500,55500,45150,52100,8206690,409257701025
20250324,61600,61700,56500,56800,1571295,92745497550
20250317,59600,63000,58200,61100,3707430,223900078700
20250310,59400,60900,56600,59800,3233061,189629486850
20250304,61900,62100,57600,59500,3327038,197512324750
20250224,65237,68100,61100,62200,5503469,358239243100
20250217,59744,67494,59155,65924,7134679,450301979800
20250210,57782,61215,56899,59548,3976590,235743410200
20250203,58567,61411,55820,58763,3711820,217843522200
20250131,59842,60823,59057,59842,464739,27780565200
20250120,61510,63962,58861,59842,4203104,257177463000
20250113,60823,65041,59351,61117,4485776,278513878600
20250106,60823,64747,59842,61313,5867936,366920924000
20241230,55918,61902,54054,59646,4953603,288381974400
20241223,62883,63275,55329,55918,4579101,270968696400
20241216,71418,71712,61902,62491,4295320,285442563200
20241209,68671,72301,67690,70829,4889309,342824655400
20241202,75538,77206,67101,69456,4784402,341389795400
20241125,75440,85054,74557,74655,7030443,556426074900
20241118,64060,75048,63570,74165,4857575,337666589000
20241111,78187,79560,60725,64060,6739869,469272934600
20241104,78874,87310,75244,78089,6298872,509899224200
20241028,77304,80836,75244,78579,2699218,212985747400
20241021,78187,80443,74459,76715,3368271,259475591600
20241014,83484,85152,77991,78579,3334628,270344336500
20241007,89959,91823,85250,85250,4008247,355991693800
20240930,90842,92510,85937,87899,3966903,356266169400
20240923,76814,90842,75931,89861,7877053,686935297700
20240919,77010,78089,74165,77304,1426840,109186690600
20240909,75048,77206,71222,75342,5179175,384755670400
20240902,84171,89763,76323,76421,6068901,511430681900
20240826,86231,87114,81326,83975,3186150,268188691900
20240819,87212,87997,83288,85152,4335929,370890412000
20240812,89174,91529,86526,87899,3807484,339517854900
20240805,88291,90842,78874,88782,7916602,685091071600
