date,open,high,low,close,volume,trading_value
20260703,114600,114800,98000,106000,1016528,108646788250
20260630,163900,164100,96000,111500,9340501,1208860849050
20260529,208500,225000,145300,168300,13446600,2358091549400
20260430,152500,215000,140300,195100,22707150,4103908367950
20260331,120300,162600,92500,143900,16005952,2096735677550
20260227,122800,134200,109200,125700,9003157,1078262516300
20260130,94600,140900,92500,126300,14660018,1709703201800
20251230,127500,138000,92700,95200,11518695,1368672494950
20251128,126300,141600,111000,125200,12480512,1570736924950
20251031,74300,149000,69800,122100,19480981,2218976742900
20250930,65700,79800,59200,74300,11194594,777701826500
20250829,68700,91300,65500,66000,11716345,918968108450
20250731,49350,74300,49000,70300,12978922,792703572925
20250630,57200,57900,47100,49300,8360176,428546643200
20250530,63900,66900,47000,57200,6716601,378979375175
20250430,59700,69900,53800,64800,4914975,302413136200
20250331,78900,80000,59300,59800,8648481,630493310800
20250228,85200,93900,78200,78900,9307364,774649830800
20250131,81100,94000,76700,88100,6441233,560744968100
20241230,99800,109700,81000,81000,4454917,429819132700
20241129,115100,126300,93500,98300,9451507,1047913367600
20241031,110500,120600,91500,118100,6982652,761025981400
20240930,94500,117900,82900,113500,5802681,577599756500
20240830,113700,117200,85500,93800,5613119,528046259400
20240731,135500,153900,109200,113700,6245819,828068944100
20240628,155700,177000,134100,135300,5659088,899165237500
20240531,162300,166400,146500,156400,4686366,729782791000
20240430,174100,183500,140600,163900,7133819,1157019137500
20240329,171000,199000,151000,174100,10418914,1823446976900
20240229,143500,175300,132100,169700,9022771,1378351899400
20240131,204500,217000,143000,143500,18466526,3463378891700
20231228,176300,207500,168000,204000,14788608,2788688290300
20231130,131500,191800,127900,176300,14814111,2404298585300
20231031,169400,172000,129900,130400,8963821,1370576403900
20230927,213500,215000,165800,173400,7894830,1511740242070
20230831,263500,263500,198100,215000,17014218,3858950376000
20230731,245500,318000,221000,257500,37823581,9991535898606
20230630,270500,288000,235500,243000,13021061,3408345504500
20230531,266500,274500,233000,270000,12542175,3159152152000
20230428,340000,349500,258000,265000,34992604,10909591531000
20230331,269000,314000,219000,313500,34738423,9105315212500
20230228,208500,285000,206000,262000,19754629,4720532455000
20230131,176500,214500,172800,206000,9221279,1750679053500
20221229,224100,227500,168700,173500,9760650,1878788415200
20221130,225000,238500,199300,220100,12245143,2704162135500
20221031,178800,227500,174800,225000,9153218,1875422783800
20220930,226200,236800,174200,177700,11279730,2389646766400
20220831,229300,260000,219900,230500,11928244,2875059751800
20220729,210000,233900,194000,228700,10976498,2341915372100
20220630,259500,264000,205200,210000,13396821,3199105865200
20220531,215000,279000,207800,259700,18315961,4540137121302
20220429,223900,251500,209800,219300,12388289,2882684578800
20220331,194300,227200,165300,225800,13650128,2643865135500
20220228,177000,196400,171100,195000,9376556,1740364561800
20220128,222700,224700,157000,168800,13025940,2481799713200
20211230,225000,226300,188600,222400,13036246,2732105603500
20211130,186000,255000,180400,224300,22206255,4948147807100
20211029,175800,233900,160500,184100,25713820,5035683121900
20210930,116100,198800,105500,179000,33397943,5183700364800
20210831,108500,132700,102500,115800,19445226,2299809019600
