date,open,high,low,close,volume,trading_value
20260629,90300,99000,89400,95000,1806300,172367359850
20260622,102500,103100,87700,89500,2179824,208749944350
20260615,110000,116200,100200,102400,2258435,244066173450
20260608,107100,109600,99500,106100,2488228,259976461700
20260601,118200,121000,112000,114900,2005413,234470625200
20260526,124800,125500,112100,119200,2732861,321691400550
20260518,124900,126200,114500,123700,2620216,314238158700
20260511,137700,138000,122200,123500,4079103,527563783100
20260504,149500,155400,134000,134700,4221224,601449822950
20260427,134100,149900,128700,146200,5639476,793699383800
20260420,129300,135500,127200,132900,3143803,414183955250
20260413,122000,129500,118600,129400,2308260,285219063800
20260406,117900,128700,115500,122400,3056905,373054658900
20260330,107400,120200,106500,118200,2471289,282874006000
20260323,111100,114700,105100,111400,1840374,202688688550
20260316,111700,117700,108500,113900,2207186,247345131100
20260309,127800,128600,112000,112600,5137994,615389997800
20260303,140400,141300,108100,124900,9195244,1164684539550
20260223,128300,139500,125500,127700,5007782,658458713300
20260219,115000,128700,114100,127600,1618259,200421424750
20260209,108400,118200,108000,113800,1935326,219244927600
20260202,111800,113700,104800,106200,2347244,255925155600
20260126,112200,120000,106500,112000,3594802,400080501450
20260119,104800,115300,102700,111400,2270965,247217805650
20260112,100000,110700,99800,105400,1834669,192699067750
20260105,100100,106000,99300,99700,2123773,215805755450
20251229,101500,103100,99500,99900,609442,61663577350
20251222,106200,107000,103200,103300,572132,60305924000
20251215,112900,114400,102500,105800,1565625,168743649000
20251208,114800,119600,112000,113900,1527760,175745725200
20251201,116000,117600,111800,114600,991010,113335192650
20251124,115700,118300,109900,115000,1101310,125533923150
20251117,124000,124700,112500,113500,1184398,139615176000
20251110,117300,127800,116100,122700,1653021,205286300000
20251103,130100,130400,114600,115900,2143773,262693602000
20251027,136300,138300,126900,128900,3323478,443285610896
20251020,115500,136200,113500,134800,4387970,554625480200
20251013,101800,119000,100300,116600,2611006,290680829650
20251010,104900,105000,102000,103000,275945,28455857150
20250929,102000,107700,99500,104900,1429702,147869938450
20250922,104800,105900,101000,101100,961520,99167705350
20250915,107900,109000,104000,104000,1232175,130258459600
20250908,105700,110400,104800,107900,1500033,161408039350
20250901,100100,106600,99700,105400,1071664,110844240350
20250825,104700,106200,99700,100900,1170622,121141585550
20250818,107500,107900,103400,103900,926133,97570313450
20250811,107700,109200,105200,109100,1073186,115006717550
20250804,102200,109900,100900,107500,1257307,133961602400
20250728,114500,119200,101400,102000,3220425,358420435000
20250721,112600,117700,112400,114400,1212184,139630950800
20250714,116500,119800,109800,113500,1579176,180985689550
20250707,113800,121000,111700,116100,2403934,278473298450
20250630,107100,128000,107000,115200,7814890,918438886200
20250623,111600,111600,97700,97800,2287583,233799011050
20250616,94700,104400,90900,102400,3563209,347784621250
20250609,91900,98800,90500,92600,2795882,263593011600
20250602,89600,93200,87000,92100,1039935,93794442400
20250526,80900,93000,80900,89500,2135500,186401846450
20250519,87100,89500,80800,81100,1490280,125675881100
20250512,91200,93000,87200,87400,1360214,122299511900
20250507,94500,94700,90800,90800,854399,79126389350
20250428,95700,97900,91900,93400,941997,89548313900
20250421,93600,96500,91800,95500,1021088,96152548700
20250414,98000,99900,93000,93600,1234109,117753053400
20250407,101100,102200,92600,97300,2356991,231388867300
20250331,118500,119300,100800,105300,1895501,203139545650
20250324,123400,127000,119700,121000,748544,92820377800
20250317,130600,133500,121100,123400,1838144,232423682250
20250310,130000,140200,129100,132000,3025568,411507615250
20250304,125500,129900,122600,128000,742967,93517746600
20250224,132700,134000,125700,125700,1719970,221713317100
20250217,121800,133400,120700,132400,1372326,177615452800
20250210,120900,124300,120000,122000,1087103,133097235200
20250203,124800,126900,120300,121100,901782,111071096000
20250131,129300,129800,126100,127500,176246,22464628500
20250120,130000,131200,123300,127100,1056546,134422883600
20250113,124600,130400,124000,128800,1259322,159702447300
20250106,119000,131000,117400,124700,2903013,364447071500
20241230,110300,119000,110300,119000,594883,68456059900
20241223,117400,117400,110000,111000,598968,68000613200
20241216,120500,122100,114100,116300,1269830,150482486900
20241209,113200,120800,107900,120500,1528744,177887114700
20241202,116700,117900,111200,114200,1118315,127926389300
20241125,119900,122400,113700,114600,1367494,162059755800
20241118,95000,122000,94100,117600,2421358,271390421200
20241111,110300,111900,91800,96100,1657220,168224082500
20241104,121900,122700,106800,111100,1673037,191942315800
20241028,115400,124000,114600,121800,1470731,177025872000
20241021,112900,118100,110600,114400,913793,104660152500
20241014,117500,120700,111100,112100,1295247,148496036900
20241007,116200,125000,114000,118500,1598640,193051451500
20240930,120000,120900,114900,116200,706223,82929149500
20240923,111600,123200,110600,118700,2519038,301740686000
20240919,112400,112900,110200,111000,695893,77539821000
20240909,106000,111400,105900,110700,1533815,168902478000
20240902,109700,111300,105200,107200,1408552,153150638100
20240826,105600,112000,105500,110000,2275143,247424182200
20240819,102300,107800,99500,105400,1495046,155645888400
20240812,101700,104500,100500,102300,793985,81365232700
20240805,102500,103800,91700,101000,2475860,244082316600
