date,open,high,low,close,volume,trading_value
20260703,178200,178200,149500,162200,1036527,169143905700
20260630,241000,244500,155700,175600,6381806,1242890053500
20260529,260500,299500,211500,245500,7868463,2026029541750
20260430,211500,268500,204500,252000,8362519,1964006998250
20260331,242000,252500,184500,203500,9418992,1911949753950
20260227,218500,254000,210000,247000,8092542,1865645840000
20260130,183300,245500,172500,223500,12525020,2580327783850
20251230,209500,235000,183100,187000,7632122,1584686793650
20251128,223500,228500,185800,206500,6631176,1376662110950
20251031,145100,260000,140700,216500,16742270,3334648097200
20250930,140300,147900,128100,143500,7661677,1054823310550
20250829,140600,164900,135600,141300,6900473,1059414196600
20250731,126600,163300,122400,142500,12821094,1855559349450
20250630,113506,133900,109241,126400,6901431,848234879450
20250530,120582,125526,95477,113022,7659493,842570290900
20250430,116608,133377,104686,121067,6447978,781959704750
20250331,134444,145203,115057,116608,7799024,1040745122050
20250228,133959,150825,118935,136964,9986440,1332815014200
20250131,138321,153345,132117,138418,7595065,1092408735500
20241230,169242,175155,135219,137739,6913352,1064355646500
20241129,215188,236512,157029,167013,9358172,1762708799900
20241031,240874,252506,211795,217611,6108110,1418596268000
20240930,210826,255899,194832,242328,9840403,2246757782500
20240830,205494,224396,189501,207918,6986051,1443886522900
20240731,251052,266561,201132,205010,7900355,1893802680000
20240628,246206,284978,242813,250568,6635259,1740197591500
20240531,272377,279647,241844,242813,5299627,1379087086000
20240430,292733,295641,239905,274800,8104456,2172133541000
20240329,312119,330536,285463,294187,7127597,2216182068000
20240229,245236,316966,233120,307273,9717280,2732034258500
20240131,347984,350892,238936,245721,10906610,3109436234500
20231228,309696,370278,299518,347984,16736711,5601016177500
20231130,233120,349922,224396,314542,24059262,7050606415000
20231031,341683,352830,225365,229243,15985288,4635288018000
20230927,435707,445400,338291,348468,10639206,4177475654500
20230831,519553,519553,387726,435707,15302029,6768868498000
20230731,346045,672704,345560,510829,37867396,18032695074500
20230630,340714,387726,333929,342168,16946028,6185746488500
20230531,329082,351861,283040,339260,19564593,6196812196500
20230428,270439,409535,266561,324720,36161894,12064343907845
20230331,215672,271893,211310,264138,34048511,8410698588000
20230228,217611,236028,205010,214218,22932246,5027228037500
20230131,178838,227304,171084,217126,20411506,3992076513059
20221229,215672,217126,171568,174476,12924826,2427941213110
20221130,193378,231666,186108,211795,17218284,3640781147500
20221031,147820,198709,142489,193378,19561938,3416006316500
20220930,161391,182715,143943,145397,15916137,2635564090500
20220831,128434,167206,127464,162845,18743578,2828252249500
20220729,104201,134734,97416,127464,10772568,1277055994000
20220630,127464,131342,102262,103716,6758592,810381187000
20220531,129888,134250,116802,126495,9264550,1168044029000
20220429,115833,135704,114863,131826,10251141,1290075489000
20220331,110501,119225,93151,116802,8309877,866897358800
20220228,110017,114863,103716,110017,3840880,419334815500
20220128,139581,140550,99839,107109,6302356,763881293000
20211230,155575,156059,134734,139581,8322317,1188393715500
20211130,140550,166237,134734,152667,10301279,1523365722000
20211029,172538,177384,139581,141035,12812323,1987986188500
20210930,149274,175930,142489,171568,12669653,1993618531000
20210831,150243,155090,131342,150728,8145785,1187490344500
