date,open,high,low,close,volume,trading_value
20260703,16550,16900,15280,15760,421806,6753538675
20260630,19010,20500,14200,16210,4780312,85151939900
20260529,27000,27850,18780,19310,4725649,104763699300
20260430,21750,29750,20850,26400,5137145,129010583875
20260331,26500,26800,20100,21250,3990620,88680867425
20260227,26900,28700,23900,27100,3614638,95598929825
20260130,25000,29250,22800,27350,4967993,126168430125
20251230,28800,30900,24900,25050,3040587,86957720075
20251128,31100,33600,26500,28500,3630036,110152204750
20251031,26600,35100,25750,30700,4272691,135756800175
20250930,27800,29750,26400,26500,2183391,61174701875
20250829,27350,32250,26050,27750,3496211,102779497375
20250731,27650,30300,26750,27750,3508230,99954641600
20250630,21400,28500,20850,26900,3898962,98459845850
20250530,22300,23700,19870,21350,2370132,51223137780
20250430,22500,23700,19310,22450,3285880,70811705190
20250331,28200,28250,22050,22250,3111501,80500865100
20250228,22800,30700,21650,28000,5466905,144178517450
20250131,22650,25900,21850,23000,2853290,69654315550
20241230,26650,27400,22250,22550,3661195,88358505300
20241129,33850,34500,24350,26250,4493349,130124943450
20241031,35200,38750,30600,34400,5185785,180953879550
20240930,33150,38000,29800,36200,6670475,225504821750
20240830,37300,38050,30950,32900,6813964,226469635950
20240731,43950,45450,36550,37300,4394727,182097708150
20240628,43600,49400,42700,44100,6170049,280241498400
20240531,58700,60200,43100,43150,5847124,297542686616
20240430,73700,73800,58600,59100,3044328,194392447518
20240329,72700,77700,70200,73200,2875929,212539888800
20240229,73400,80800,65100,73300,4639489,326076553900
20240131,78900,86500,69600,74200,4188956,332195460850
20231228,70600,88000,68700,78900,6971493,569366208691
20231130,59400,74500,58500,71000,4835534,331815608600
20231031,73000,73000,58700,59300,3721396,247446703900
20230927,89500,89500,73100,74000,4756550,387163418600
20230831,109400,110100,84700,90300,7164739,686154955500
20230731,97700,120000,88100,107300,20718577,2133862083486
20230630,89000,103900,88600,96800,13594219,1295655533100
20230531,79700,91500,77300,88600,8652045,737217471600
20230428,72800,94800,72300,77300,28872452,2496224868000
20230331,65000,73000,59800,71200,10905931,727672241100
20230228,67700,78700,61300,65400,11101119,764626888500
20230131,53500,71200,51200,67000,6958752,437425659300
20221229,67400,68500,52300,53000,6256194,383062150700
20221130,51800,70000,51000,65900,17004144,1037301601800
20221031,52800,56100,46500,52000,11087891,570235574100
20220930,82100,82900,52300,52400,9939469,674444118700
20220831,81900,96600,79100,83200,9284168,812984116000
20220729,98300,99400,79200,81800,15699480,1305971450340
20220630,125000,126000,98000,98100,3979000,431987016600
20220531,125000,127000,109500,126000,3959393,471044291500
20220429,124500,133000,118000,127000,5408383,681301826500
20220331,122500,128500,105000,126500,6068311,710035585250
20220228,115500,130500,107500,123500,8640227,1031225333500
20220128,169000,169500,111000,115000,8323557,1165871660429
20211230,156000,177500,154000,168000,8475922,1418875240000
20211130,163500,180000,141000,155500,19743568,3220727254302
20211029,226000,231000,165500,166500,6124974,1178414110250
20210930,212000,236500,205000,226000,7824848,1715482288500
20210831,226500,237000,198500,207500,13017731,2760774446200
