date,open,high,low,close,volume,trading_value
20260629,468500,514000,429000,467500,2684282,1294747714000
20260622,564000,570000,442000,455000,2739211,1350127222000
20260615,566000,582000,520000,555000,2498787,1374264575500
20260608,504000,570000,466500,539000,2906140,1486765974250
20260601,679000,679000,555000,568000,2883499,1790740767000
20260526,666000,707000,629000,688000,4907305,3290407026000
20260518,592000,657000,548000,647000,2927467,1748670067500
20260511,670000,693000,600000,614000,4802028,3081879842000
20260504,715000,717000,671000,678000,2542647,1760550006500
20260427,641000,723000,616000,695000,4277677,2909801853000
20260420,515000,686000,509000,641000,7078797,4418407613000
20260413,476500,515000,463000,513000,3387982,1640357780000
20260406,441000,493500,438000,481000,4260366,1996504369750
20260330,389000,460000,388500,438500,5139848,2208543986500
20260323,386500,413500,375000,405500,2523609,996961409250
20260316,395000,414000,380000,400500,2053790,814879069750
20260309,386500,419000,375500,388000,3030942,1201948210750
20260303,453500,454500,348500,410500,5154330,2056708564250
20260223,407500,473500,387000,466000,6948239,2985513488000
20260219,379500,420500,377000,402000,2013550,804292345500
20260209,381500,391500,372500,374500,2506594,953153749750
20260202,380000,399500,355500,370000,5617762,2120040198750
20260126,385500,411500,367500,390000,8573620,3323030906000
20260119,289000,402000,286000,373000,13881171,4921564966000
20260112,265500,302500,264000,289000,3552607,1019547789000
20260105,260000,282000,259500,267500,2848401,775797659500
20251229,267000,278500,259000,262500,1394675,373341858250
20251222,282000,285000,273000,274000,1187624,331767490000
20251215,301500,309500,267500,279500,2387603,684043383280
20251208,308500,329000,305000,308000,2191259,686088320750
20251201,301500,310500,296000,307500,1473640,446107678250
20251124,291500,308000,280500,299500,2136768,623024784750
20251117,321000,324500,287000,288500,1850905,559852604750
20251110,308000,336500,303000,315000,2784344,896520875750
20251103,328500,354500,300000,306000,5179054,1682512897500
20251027,304000,349500,273000,322000,10357419,3239422188038
20251020,258000,296500,248000,293000,4657998,1245222705000
20251013,203500,259500,201500,255500,5457341,1266761973000
20251010,208500,208500,202500,207000,461084,95004603250
20250929,205500,212000,203000,206500,1258773,260203352500
20250922,205000,211500,202500,202500,1860194,385216924214
20250915,206000,209000,200500,203000,2566724,523019342250
20250908,197900,204000,196800,204000,2227763,445472591700
20250901,202500,206500,199300,199500,1411624,284742375900
20250825,220000,225750,206000,207000,2053449,445107823500
20250818,222500,224500,213500,216000,1663014,362769658500
20250811,221500,234000,218000,224000,2160793,488209878000
20250804,190800,223000,189500,218000,4296240,918637878200
20250728,191900,212500,187200,190000,4674946,928805281750
20250721,182500,193900,180100,189800,2934177,550105137950
20250714,180200,184300,174600,182500,2049265,367998886800
20250707,182800,183700,169700,179400,3308417,578781914700
20250630,171000,187000,170900,181100,3120785,558207146250
20250623,172800,182300,168300,169700,2633524,457328476900
20250616,170900,177000,165900,176300,2861511,487485709500
20250609,173500,176900,169400,172100,3318676,572579613200
20250602,170000,179000,167000,174300,1312151,226680837797
20250526,160200,176000,159400,168900,3455234,582702901150
20250519,163400,173300,157700,160200,2014757,330508119350
20250512,170700,176200,164100,164700,1841899,311931899650
20250507,175400,176400,170100,170400,1216602,209203737650
20250428,184500,189600,170900,173600,1505909,269885981850
20250421,179000,191300,176200,185100,1588830,292037383224
20250414,177600,184400,176300,180000,1246969,224114876911
20250407,179358,180925,166435,175600,2199045,382906519500
20250331,191596,192380,175540,186799,2247408,413666386350
20250324,196785,208044,193359,195219,1630149,323858694900
20250317,187191,201191,182883,196296,4613109,882437880500
20250310,213918,215876,185330,187386,5288346,1045530821500
20250304,217345,219303,203638,213918,2273708,479191137246
20250224,223709,243289,217834,219303,3220091,746110613500
20250217,210981,228114,208534,226646,1923904,422999047000
20250210,201191,212450,195806,209023,2377817,490524136000
20250203,211960,211960,201191,205107,2111558,435581310500
20250131,220771,221261,215387,217345,412028,89516630000
20250120,230072,239373,220282,221751,1873155,430269986000
20250113,227625,234478,224688,229093,1528660,350170062500
20250106,241821,249163,227625,229093,2309467,550885826500
20241230,241821,248674,227135,241821,983413,235136753000
20241223,245737,255527,237415,242800,954849,234977707500
20241216,258954,262380,239863,242800,2081410,516606397500
20241209,240842,257485,233499,255038,1864497,459106896000
20241202,253569,262380,239373,246226,1841875,463322233000
20241125,266786,278045,249163,249163,2028144,537292584500
20241118,241821,269234,241331,263359,1959846,500776545500
20241111,279513,281472,230562,241331,4102550,1045150481500
20241104,328465,330913,278045,278534,3887685,1159250520500
20241028,315738,343640,315738,324549,1607484,530801079928
20241021,324059,334339,314269,315248,1093955,352678109000
20241014,357836,359305,320143,323080,1737679,589397744250
20241007,357347,377906,350493,365179,1386920,503965669000
20240930,380843,385249,353430,353920,969184,354694822000
20240923,369585,384760,364200,375948,1766133,664118227000
20240919,366158,374480,358326,368605,839936,307704769500
20240909,330423,363221,325039,357347,2052855,711281210500
20240902,351472,372032,333850,335808,2680184,953191976500
20240826,326997,354899,321612,346577,2469513,839337881000
20240819,312801,330913,299094,323570,2200410,694063531643
20240812,304479,324549,304479,313780,1205522,378710347008
20240805,324549,325528,288325,303500,2006990,615073035500
