date,open,high,low,close,volume,trading_value
20260703,27600,28000,22450,24100,475401,11822351625
20260630,34200,40650,23600,27450,4217203,134598028725
20260529,45200,46300,32000,35100,3647276,141520339900
20260430,41950,55500,33950,44300,10994816,482842656525
20260331,71800,73000,29950,40950,14337782,650852831375
20260227,93900,95600,73700,76000,4524450,367319133250
20260130,63000,105000,60300,96100,8900703,690146395700
20251230,77000,78000,59500,62900,4475061,309636053406
20251128,88100,92700,54800,76000,5585339,401559742850
20251031,71500,100900,65200,86100,6940386,600491702950
20250930,72900,81300,68300,71600,3849717,286878918050
20250829,65300,89400,62000,74900,7774321,616141955150
20250731,56400,71200,54500,67100,6401896,394312086650
20250630,68400,71700,53100,55900,4439774,268251128500
20250530,78600,80500,57400,66900,5085133,327608694850
20250430,65800,92300,57000,79300,6364711,491198541200
20250331,105500,107300,64600,65300,6254559,538205359250
20250228,126900,133900,101700,105100,8118044,939485327800
20250131,132900,158100,129100,130000,3281173,471832793200
20241230,132900,179900,117500,132900,8189650,1189407658802
20241129,169000,181200,108000,127200,5606853,815242884700
20241031,177400,219500,166500,174800,4102288,784715910500
20240930,191000,218000,159100,181800,6120925,1148764625300
20240830,174500,223500,149000,191500,6839103,1275773882800
20240731,220000,258500,165300,174500,10506370,2078968384100
20240628,292000,303000,208500,225000,7846884,2035362629500
20240531,285500,343000,251500,293500,10331831,3091371184000
20240430,226000,394500,224500,286000,18573600,5937536704500
20240329,278000,296000,208500,227000,16065989,3906537826000
20240229,152700,358500,151000,280500,27068873,6766979561300
20240131,81000,177100,78800,163500,41838448,5075592513100
20231228,64500,81700,61600,79500,8732062,635879105500
20231130,52300,64100,49300,61400,5188714,300925048500
20231031,55600,63000,50600,51700,3724291,209068256100
20230927,66200,67900,54200,57100,3466263,212118420400
20230831,73400,73500,61000,66700,4997647,332144825300
20230731,71500,78400,65400,70500,9484757,676640758900
20230630,72600,76800,65400,71000,5866533,421690819300
20230531,70700,73800,61700,72600,5183659,355311739900
20230428,74900,94300,66400,69800,22998681,1812059026000
20230331,61600,81000,56700,70600,8995309,611944476800
20230228,60100,69700,59800,60800,3942043,251061717800
20230131,53200,62800,53100,59700,1738840,100251170300
20221229,65800,66700,52000,52600,2244880,132052306000
20221130,73600,77700,58000,64500,4980119,338891614900
20221031,67500,79200,64500,74500,4241841,303788238700
20220930,58700,77000,53800,66800,6963803,473304978100
20220831,52500,65600,50800,59500,3771067,219331790200
20220729,47700,53700,44100,52000,2532756,120342067850
20220630,77800,78500,46700,47800,3894556,244507814650
20220531,82600,84500,73900,77900,3100113,247509628000
20220429,95700,100700,86000,87200,2603757,242722527600
20220331,84000,97100,73000,96600,5694221,492568080800
20220228,92000,112500,84000,84700,6063146,588001447800
20220128,98300,121000,85700,95400,5452267,565071798900
20211230,102100,113000,84200,99700,6099437,596955729500
20211130,81600,136000,77000,104000,21585491,2129973969100
