date,open,high,low,close,volume,trading_value
20260703,16290,16290,15280,15760,161471,2521923000
20260702,16100,16670,15590,16030,117299,1883449100
20260701,16550,16900,16120,16360,143036,2348166575
20260630,16970,16970,16100,16210,211423,3468859340
20260629,14390,17200,14390,17200,370025,6083554460
20260626,15140,15370,14200,14390,213894,3122479040
20260625,16460,16920,15210,15240,273955,4334164230
20260624,16670,16850,16100,16500,153379,2511275255
20260623,17940,18220,16470,16670,207737,3517322345
20260622,18640,18810,17700,17950,150601,2737275160
20260619,18350,18690,17680,18630,271052,4982007320
20260618,19200,19270,18330,18330,161930,3013262305
20260617,19990,19990,19200,19340,143664,2810192840
20260616,19200,20250,18810,19990,210307,4119499305
20260615,19110,19230,18780,19180,168261,3199174270
20260612,20150,20250,18570,18610,399032,7673474800
20260611,16470,20500,16020,20500,637073,12071563670
20260610,16750,17280,16410,16900,167171,2804837660
20260609,16500,17250,16430,17030,133021,2234190645
20260608,17000,17150,16260,16600,160583,2677320905
20260605,18550,18660,17740,17800,182186,3276412260
20260604,18260,19100,18250,18730,171169,3192498345
20260602,18500,18690,18050,18260,200017,3661556170
20260601,19010,19250,18550,18710,193832,3661019575
20260529,19560,19690,18950,19310,239308,4595373685
20260528,19750,20300,18780,19750,340406,6602102395
20260527,20050,20100,19180,19190,294939,5764613530
20260526,21200,21350,20100,20100,211625,4339060525
20260522,20650,20900,20400,20750,194765,4018205750
20260521,19700,20500,19560,20200,212857,4275969710
20260520,20150,20350,19020,19190,325044,6295851030
20260519,20800,20850,20000,20300,181625,3682957325
20260518,21350,21350,20200,20600,238151,4876907750
20260515,22900,23100,21200,21400,336154,7375506325
20260514,22400,23700,21550,23700,389526,8745230375
20260513,23000,23050,22000,22050,239210,5318631000
20260512,24500,24500,22400,22950,414855,9585134400
20260511,26000,26200,24500,24500,239499,5967493275
20260508,26900,27050,26000,26400,177684,4676695200
20260507,27200,27200,26500,27000,226062,6075653475
20260506,27100,27200,26400,26800,191300,5129368900
20260504,27000,27850,26600,26800,272639,7438944650
20260430,26950,27050,26200,26400,200023,5302437475
20260429,26900,27600,26500,27300,180799,4929842550
20260428,27250,27700,26650,26950,170680,4634534425
20260427,27800,27800,26700,27100,236522,6383687350
20260424,27300,27850,26850,27700,222302,6076776025
20260423,28100,28100,26550,26900,294816,8003278750
20260422,29600,29750,27350,28150,847520,23813078150
20260421,25450,26650,25100,26650,517250,13573469675
20260420,24700,25100,24150,24700,288368,7145194525
20260417,23850,24550,23300,24200,179965,4347470600
20260416,23200,23650,22900,23650,167118,3901057275
20260415,23000,23100,22650,22950,129770,2965112875
20260414,23000,23050,22550,22700,144240,3277921375
20260413,22700,23350,22600,22850,115471,2645288725
20260410,23050,23150,22700,23100,110753,2542918825
20260409,22450,23200,22300,22850,263348,5993012050
20260408,23050,23150,22000,22350,174066,3898535050
20260407,21800,23050,21700,22050,174583,3903804975
20260406,21150,22700,21150,21800,197492,4349127575
20260403,21550,21800,20850,21050,119104,2528778200
20260402,22250,22850,20900,21200,241362,5255778725
20260401,21750,22350,21500,22300,161593,3539478700
20260331,22100,22200,21050,21250,161264,3478315275
20260330,20850,22450,20600,22100,198382,4340069725
20260327,20750,21750,20100,21650,263164,5557237975
20260326,22100,22100,20950,21050,162510,3467421000
20260325,21750,22450,21600,22100,168974,3717361425
20260324,21500,21600,20750,21600,148824,3154659125
20260323,21750,21750,20600,20650,179242,3746262775
20260320,21950,22750,21950,22200,141387,3144722575
20260319,21900,22150,21700,21750,125355,2745742850
20260318,22450,22700,22150,22650,120845,2717377100
20260317,21700,22350,21550,22100,128600,2818957750
20260316,21900,22000,21200,21250,137714,2950839825
20260313,22100,22300,21800,21950,138638,3048152375
20260312,22950,23100,22300,22800,140268,3176239225
20260311,22950,23500,22400,23100,122102,2822082325
20260310,23100,23100,22200,22700,162323,3657661150
20260309,21500,22400,21200,22300,224878,4867950900
20260306,22050,23500,22050,23450,208646,4801116775
20260305,21700,23350,21700,22700,266450,6016452800
20260304,23700,24300,20400,20500,471975,10288359350
20260303,26500,26800,24550,24750,319079,8163885125
20260227,27300,27500,26850,27100,173800,4715876675
20260226,28000,28700,27500,27650,242216,6755202425
20260225,27500,28550,27000,27850,287796,7963046000
20260224,26350,27400,26200,27300,293255,7896690825
20260223,26850,27450,26200,26250,199443,5292598575
20260220,26400,26700,26200,26550,159848,4238320025
20260219,26150,26550,25850,26400,203964,5363385725
20260213,26950,26950,25950,25950,240770,6324313700
20260212,25850,27350,25500,27350,344498,9198881675
20260211,26250,26300,25700,25750,107189,2776320725
20260210,26150,26250,25700,25800,113502,2948465950
20260209,25200,26200,25200,25900,190183,4911311375
20260206,24850,25000,23900,24350,202376,4916458400
20260205,26000,26300,25400,25400,209595,5397257625
20260204,26000,26800,25950,26150,248519,6516664700
