date,open,high,low,close,volume,trading_value
20260703,95900,95900,91000,95000,285404,26756939650
20260702,97900,98000,92200,94100,390416,37058159850
20260701,97700,99000,93000,98000,363139,34854701700
20260630,97700,98000,94500,94900,342957,33011396350
20260629,90300,99000,89400,98400,424384,40686162300
20260626,94800,95000,87700,89500,476165,42764681000
20260625,98700,101000,94400,94400,381164,36970519450
20260624,93500,99900,91600,98400,446198,42903813150
20260623,100600,102000,92500,93700,585537,56823267100
20260622,102500,103100,100200,100200,290760,29287663650
20260619,104200,106300,100200,102400,574557,58671271600
20260618,108500,108600,103500,103500,384157,40147383750
20260617,112600,113200,108900,109000,456434,50277447750
20260616,113100,113700,110000,112500,276144,30996077400
20260615,110000,116200,107800,112700,567143,63973992950
20260612,105800,109600,104500,106100,536326,57269996100
20260611,101200,103700,99500,103200,578990,58937854100
20260610,104600,107900,100600,103700,441698,45462312650
20260609,104600,107700,104000,105700,398633,42117974150
20260608,107100,109100,103700,104600,532581,56188324700
20260605,119500,119500,112000,114900,399657,45843699900
20260604,117000,119200,114500,116800,410882,48116761850
20260602,115800,119900,115000,116300,642883,75547524300
20260601,118200,121000,115200,116200,551991,64962639150
20260529,117400,119400,113000,119200,959568,113061074000
20260528,117700,118800,112100,117000,599363,68917636300
20260527,121300,121800,114600,115400,725626,84692698250
20260526,124800,125500,121300,121700,448304,55019992000
20260522,122000,125500,121300,123700,470022,58237594800
20260521,117800,119000,116000,118800,532239,62718058150
20260520,123100,124800,114500,115500,516672,60403213050
20260519,122900,125000,117700,119600,605849,72695261950
20260518,124900,126200,116900,123300,495434,60184030750
20260515,130000,136400,122200,123500,1140726,148162856400
20260514,131000,131400,124100,126700,805501,101748470850
20260513,131000,132000,125200,129700,645303,82400456200
20260512,132000,133400,123900,128500,786369,101002810700
20260511,137700,138000,131900,132700,701204,94249188950
20260508,138200,138200,134000,134700,673340,90998703950
20260507,145500,145900,136400,137800,1021138,141875528500
20260506,148500,148700,139500,146700,1323792,190746699200
20260504,149500,155400,144600,145700,1202954,177828891300
20260430,146500,148000,143500,146200,1134227,165395059100
20260429,135400,149900,135300,149800,3117601,446100114650
20260428,130700,133800,130300,133000,736544,97173098400
20260427,134100,134300,128700,130400,651104,85031111650
20260424,133300,134200,130900,132900,445814,59074720550
20260423,134500,135500,128400,133200,568659,74933512050
20260422,135200,135200,130000,134000,618073,81790556050
20260421,130100,135200,128900,133500,1167957,154182885300
20260420,129300,130500,127200,128800,343300,44202281300
20260417,127000,129500,125300,129400,432136,55192089050
20260416,121600,127000,121600,126500,667455,83714863450
20260415,122400,122900,118600,121600,501831,60414784250
20260414,122000,122800,120000,121600,361028,43821426050
20260413,122000,124200,119800,121500,345810,42075901000
20260410,123600,124900,121100,122400,291430,35786887100
20260409,122200,124500,119100,124000,648120,79621121100
20260408,125000,125500,115500,120400,807415,96313902500
20260407,121500,128700,120500,121800,690065,86272370200
20260406,117900,123900,117800,123200,619875,75060378000
20260403,118200,119600,114000,118200,307161,35929260150
20260402,114400,120200,113800,115500,906129,106147526850
20260401,113000,114500,110800,114500,339509,38393613000
20260331,112300,113400,107700,108700,424109,46769646200
20260330,107400,114600,106500,113400,494381,55633959800
20260327,109500,111400,106300,111400,310314,33872874450
20260326,113500,113500,110300,111300,301504,33790018350
20260325,111700,114700,111000,114100,429196,48605578650
20260324,108900,110300,106200,110100,335325,36494468000
20260323,111100,111400,105100,105600,464035,49925749100
20260320,111900,117700,111600,113900,570150,65355396850
20260319,111800,113000,110200,110300,319609,35605810750
20260318,111300,114600,110600,114300,394221,44663561050
20260317,110900,111000,108500,110900,443183,48746082250
20260316,111700,113300,108900,109300,480023,52974280200
20260313,120600,121100,112000,112600,1213989,138891263700
20260312,121200,125400,120000,121700,1529015,185845209550
20260311,120200,126400,119000,119500,832752,102284159350
20260310,120000,122500,117100,119800,543592,64744582650
20260309,127800,128600,117100,118200,1018646,123624782550
20260306,131000,131000,121900,124900,1082786,135446020800
20260305,115700,131400,114100,126500,2015029,249412226450
20260304,136700,139600,108100,109000,2479816,295359163250
20260303,140400,141300,128700,130900,3617613,484467129050
20260227,128000,129900,125500,127700,1133235,144795293200
20260226,131500,132800,128100,130000,645204,84082325950
20260225,136300,136400,130000,131200,945606,125322524100
20260224,129500,139500,128700,137700,1454315,197333208050
20260223,128300,130700,126700,128400,829422,106925362000
20260220,121700,128700,121500,127600,1148636,145602238500
20260219,115000,119000,114100,118600,469623,54819186250
20260213,116000,118200,113500,113800,366958,42293885950
20260212,114400,116700,112200,116300,552434,63842624550
20260211,112800,114000,111900,113500,333667,37703424600
20260210,110400,112800,109600,111800,371527,41383660950
20260209,108400,111000,108000,109700,310740,34021331550
20260206,107000,107100,104800,106200,416129,43974460850
20260205,110700,111700,108500,109800,478632,52637943200
20260204,108500,112800,108500,112700,456487,50779881050
