date,open,high,low,close,volume,trading_value
20260629,100000,117500,98000,106000,1911362,208818550000
20260622,129000,130600,96000,98900,2242927,249401465400
20260615,142200,146800,124000,128600,1839683,246660639600
20260608,124900,142300,117300,134000,2057517,262163911050
20260601,163900,164100,136100,139900,2305540,350463071250
20260526,165000,177500,149200,168300,3923358,649393682550
20260518,157100,170500,145300,158900,2629544,410461903250
20260511,196600,197600,156000,160200,4211212,734767530600
20260504,208500,225000,194000,195800,2682486,563468433000
20260427,199200,215000,192100,195100,2428424,494481828850
20260420,184600,201500,176300,198500,4497435,860107980500
20260413,186000,187700,168100,185600,4890981,862598422150
20260406,171500,195300,167000,186800,5905138,1085631917750
20260330,154000,171300,140300,166400,7604454,1206720614050
20260323,108300,158400,107200,155300,7504661,1040185489800
20260316,106900,113000,103400,112100,1641869,179502474550
20260309,110800,120500,105200,106800,2067839,232412945000
20260303,120300,125300,92500,118600,2172301,239002372850
20260223,116700,129000,113000,125700,2741687,338484633800
20260219,114100,118700,113100,114700,737129,85730943000
20260209,118500,122800,113100,113100,2089717,244151720950
20260202,122800,134200,109200,113800,3434624,409895218550
20260126,122100,140900,120800,126300,4671582,607789382100
20260119,106500,128400,106100,120200,3705457,439476836850
20260112,104600,119200,103000,108700,2560283,288712484950
20260105,93300,107800,92500,107700,2944796,299606512400
20251229,99200,107200,92700,94300,2364959,228173636700
20251222,108100,108600,102100,103500,959861,101406608650
20251215,125200,128500,101600,107000,2452998,279779254850
20251208,125000,138000,124100,128400,3657917,475772777200
20251201,127500,133400,122100,123400,2860860,357658203050
20251124,120600,130700,111000,125200,2127001,255243987050
20251117,136300,137100,119300,119900,2229314,281638118500
20251110,121900,141600,118500,133500,3896299,512315972550
20251103,126300,129900,115500,121900,4227898,521538846850
20251027,145200,149000,118800,122100,6578168,893135332550
20251020,108600,134300,106300,133600,5062109,603697202600
20251013,70400,114000,69800,111000,6903966,654246147450
20251010,72900,72900,70500,71400,320533,22850693000
20250929,72500,74900,71400,73800,1106752,81038518200
20250922,73100,78800,72300,72400,2255785,171489126550
20250915,67100,79800,66200,74500,3592511,265695671850
20250908,62800,66100,60700,65500,2013128,127548596800
20250901,65700,66200,59200,62700,2842623,176977280400
20250825,85000,86300,65700,66000,3421701,251115144250
20250818,89500,91100,81400,82500,2642827,227629653900
20250811,77100,91300,76100,90500,2767032,234145562500
20250804,67700,76500,65500,75600,2543593,183050957100
20250728,67200,74300,62200,66600,3162203,218399200100
20250721,61000,69400,60300,65500,3221395,208812910250
20250714,57200,64200,53200,62200,3085164,180510121700
20250707,54600,59900,50800,58000,2340603,128813382500
20250630,49950,56600,49000,53400,1745851,90893766600
20250623,50000,55100,48750,49500,1945709,100482826025
20250616,49400,52300,47100,51100,1975996,97421619475
20250609,54400,54600,48900,49600,3147959,160494942475
20250602,57200,57900,53000,56800,1055410,58448237700
20250526,47850,59000,47000,57200,2832127,150651456875
20250519,59100,61900,47800,48000,1853838,98959961650
20250512,62600,66500,59000,59500,991417,62551844350
20250507,66300,66800,61400,61800,816311,52277183200
20250428,69200,69900,61800,65500,847514,56499632200
20250421,60200,68700,58700,67000,1202121,78049191300
20250414,61300,63700,59300,60300,643963,39507644900
20250407,58800,61100,53800,60800,1136309,65806357250
20250331,62200,62300,54700,61800,1725350,102167910000
20250324,72400,72400,64600,64700,1225934,84519081400
20250317,74000,76900,69700,71300,1832221,133625560250
20250310,72500,79800,70200,73400,3237908,244389044400
20250304,78900,80000,70100,72500,1935044,142880954400
20250224,90500,93900,78900,78900,4312116,355448600400
20250217,80800,93400,79700,91400,1988647,173627809700
20250210,80000,84600,78200,80500,1734825,141375704700
20250203,85200,86000,79200,81000,1271776,104197716000
20250131,86600,88900,84500,88100,180441,15705240400
20250120,86600,94000,86200,86800,2249093,202166324200
20250113,81300,92200,80600,85800,1946787,169918460900
20250106,82400,88700,81400,82200,1373265,117305602700
20241230,81800,84700,76700,81600,851520,68860070900
20241223,91500,92800,82100,82400,730655,63918785500
20241216,105000,105700,90500,90700,884176,85362059200
20241209,94200,109700,92200,103700,1585491,160602664300
20241202,99800,102500,94100,96400,1094722,106724892700
20241125,107700,113800,97100,98300,1266292,133881237600
20241118,97500,107300,95800,104700,1265297,129935416400
20241111,117600,126300,93500,97500,2961845,332467727000
20241104,114800,123900,106000,114300,3739186,426071106800
20241028,101500,119600,101300,115900,2066261,234319850500
20241021,97600,107000,91500,101100,1483783,147020745600
20241014,108100,109900,97600,98700,1278366,133193326900
20241007,110800,120600,110300,111300,1691140,196868614900
20240930,114400,117900,106200,107500,1108882,124193450100
20240923,89800,115000,88600,112800,2534259,267537429100
20240919,92600,93800,88100,89800,432288,39034483900
20240909,84800,91800,82900,90400,1069939,94494192500
20240902,94500,100300,86600,86800,1339302,127521524200
20240826,92800,95400,88000,93800,848874,78215865800
20240819,93200,94800,89000,91700,965293,88411625000
20240812,91300,95700,88300,93600,752429,69254359500
20240805,108200,110000,85500,91300,2681060,250722531700
