node,type,degree
PRISM Energy International Australia,Company,1
PT BAHODOPI NICKEL SMELTING INDONESIA,Company,1
PT Enchem Elyte Indonesia,Company,1
PT LBM Energi Baru Indonesia,Company,1
PT LG CHEM INDONESIA,Company,1
PT Meiming NEW ENERGY MATERIALS,Company,1
PT Patra SK,Company,1
PT Pertamina,Company,1
PT Prism Nusantara International,Company,1
PT. Green Eco Nickel,Company,1
PT. QMB NEW ENERGY MATERIALS,Company,1
PT.HLI Green Power,Company,1
PT.Halim Samudra Interutama,Company,1
PT.Indonesia Pos Chemtech Chosun Ref,Company,1
PT.KRAKATAU POSCO FUTUREM,Company,1
PT.Krakatau Pos-chem Dong-suh Chemical,Company,1
PT.Krakatau Sarana Infrastrutur,Company,1
PetroChina,Company,1
Polyplus,Company,1
Posco Future Materials Canada,Company,1
Prism Energy International,Company,1
Prism Energy International China,Company,1
Qingdao ZhongShuo New Energy Technology,Company,1
Queensland Pacific Metals,Company,1
Repsol Petroleo,Company,1
Reventas,Company,1
Rhythm pharmaceuticals,Company,1
S-Oil,Company,1
SDI-GM Synergy Cells Holdings,Company,1
SHINGHWA AMPEREX,Company,1
SK,Company,1
SK Americas,Company,1
SK China,Company,1
"SK E&S Dominicana, S.R.L",Company,1
SK E&S Hong Kong,Company,1
SK ENMOVE GABRIEL INDIA PRIVATE,Company,1
SK Energy Europe,Company,1
SK Enmove Russia,Company,1
SK Hi-tech Battery Materials (Jiang su),Company,1
SK Hi-tech Battery Materials Poland Sp. Zo.o,Company,1
SK Innovation America,Company,1
SK Innovation Insurance (Bermuda),Company,1
SK Investment Management,Company,1
SK Japan,Company,1
SK Latin America Investment S.A,Company,1
SK MENA Investment B.V,Company,1
SK South East Asia Investment,Company,1
SK Technology Innovation,Company,1
SK innovation outpost,Company,1
SK온 트레이딩인터내셔널,Company,1
SOLWIND ENERGY JOINT STOCK,Company,1
Samaung SDI China,Company,1
Samsung SDI (Hong Kong),Company,1
Samsung SDI America,Company,1
Samsung SDI Americia,Company,1
Samsung SDI Battery Systems,Company,1
Samsung SDI Energy Malaysia,Company,1
Samsung SDI Europe,Company,1
Samsung SDI Hungary,Company,1
Samsung SDI India Private,Company,1
Samsung SDI Japan,Company,1
Samsung SDI Southeast Asia,Company,1
Samsung SDI Vietnam,Company,1
Samsung SDI Wuxi,Company,1
Samsung SDI-ARN(Xi'An) Power Battery,Company,1
Samsung SDI（Tianjin）Battery,Company,1
Saudi Aramco,Company,1
Shell,Company,1
Sinopec,Company,1
StarPlus Energy,Company,1
Stellantis,Company,1
Tesla,Company,1
Tianjin LG BOTIAN Chemical,Company,1
Tianjin LG Bohai Chemical,Company,1
Tianqi Lithium,Company,1
Tricon Energy,Company,1
ULTIUM CAM GP,Company,1
ULTIUM CAM PARTNERSHIP,Company,1
ULTIUM CELLS,Company,1
UNIPEC AMERICA,Company,1
Ultium Cells,Company,1
Uniseal,Company,1
Volkswagen Group,Company,1
Volta Energy Soutions,Company,1
WCP,Company,1
